Nivel	ID	Ano	Classe	Area
Estado	PB	2000	LavTe	0.0
Estado	PE	2000	LavTe	0.0
Estado	AL	2000	LavTe	0.0
Estado	SE	2000	LavTe	0.0
Estado	BA	2000	LavTe	0.0
Estado	ES	2000	LavTe	0.0
Estado	RJ	2000	LavTe	0.0
Estado	SP	2000	LavTe	0.0
Estado	PR	2000	LavTe	0.0
Estado	SC	2000	LavTe	0.0
Nacional	BR	2000	Campe	22.427681
Regiao	1	2000	Campe	6.125631003906248
Regiao	2	2000	Campe	8.901268032226564
Regiao	3	2000	Campe	3.6006965320082727
Regiao	4	2000	Campe	3.8000849921875024
Regiao	5	2000	Campe	0
Regiao	6	2000	Campe	0
Regiao	7	2000	Campe	0
Estado	AP	2000	Campe	7.441406294159777
Estado	PA	2000	Campe	7.262260201317401
Estado	MA	2000	Campe	3.541800642555147
Estado	CE	2000	Campe	0.11938652441406249
Estado	PI	2000	Campe	0.0
Estado	RN	2000	Campe	0.03700139501953125
Estado	PB	2000	Campe	0.0
Estado	PE	2000	Campe	0.0
Estado	AL	2000	Campe	0.0
Estado	SE	2000	Campe	0.0
Estado	BA	2000	Campe	0.0
Estado	ES	2000	Campe	0.0
Estado	RJ	2000	Campe	0.0
Estado	SP	2000	Campe	0.0
Estado	PR	2000	Campe	0.0
Estado	SC	2000	Campe	0.0
Nacional	BR	2000	OANVe	0.7669369
Regiao	1	2000	OANVe	0
Regiao	2	2000	OANVe	0
Regiao	3	2000	OANVe	0
Regiao	4	2000	OANVe	0.6332110156249999
Regiao	5	2000	OANVe	0
Regiao	6	2000	OANVe	0
Regiao	7	2000	OANVe	0.1337258671875
Estado	AP	2000	OANVe	0.0
Estado	PA	2000	OANVe	0.0
Estado	MA	2000	OANVe	0.23315980859375002
Estado	CE	2000	OANVe	0.2535941953125
Estado	PI	2000	OANVe	0.076022427734375
Estado	RN	2000	OANVe	0.00528647119140625
Estado	PB	2000	OANVe	0.005520993313419117
Estado	PE	2000	OANVe	0.0
Estado	AL	2000	OANVe	0.0
Estado	SE	2000	OANVe	0.00219141357421875
Estado	BA	2000	OANVe	0.0
Estado	ES	2000	OANVe	0.00916623681640625
Estado	RJ	2000	OANVe	0.0
Estado	SP	2000	OANVe	0.0
Estado	PR	2000	OANVe	0.0
Estado	SC	2000	OANVe	0.0
Nacional	BR	2000	Savan	6.586040
Regiao	1	2000	Savan	0.4643149448242187
Regiao	2	2000	Savan	0.7630247060546868
Regiao	3	2000	Savan	2.5082945927734372
Regiao	4	2000	Savan	2.850405273437501
Regiao	5	2000	Savan	0
Regiao	6	2000	Savan	0
Regiao	7	2000	Savan	0
Estado	AP	2000	Savan	0.5558763681640623
Estado	PA	2000	Savan	0.6261688671875
Estado	MA	2000	Savan	4.609795623161766
Estado	CE	2000	Savan	0.0745954208984375
Estado	PI	2000	Savan	0.050674728515625
Estado	RN	2000	Savan	0.01057256005859375
Estado	PB	2000	Savan	0.0
Estado	PE	2000	Savan	0.0
Estado	AL	2000	Savan	0.0
Estado	SE	2000	Savan	0.0
Estado	BA	2000	Savan	0.0
Estado	ES	2000	Savan	0.0
Estado	RJ	2000	Savan	0.0
Estado	SP	2000	Savan	0.0
Estado	PR	2000	Savan	0.0
Estado	SC	2000	Savan	0.0
Nacional	BR	2000	Canav	0.18891239
Regiao	1	2000	Canav	0
Regiao	2	2000	Canav	0
Regiao	3	2000	Canav	0
Regiao	4	2000	Canav	0
Regiao	5	2000	Canav	0.18891239062499998
Regiao	6	2000	Canav	0
Regiao	7	2000	Canav	0
Estado	AP	2000	Canav	0.0
Estado	PA	2000	Canav	0.0
Estado	MA	2000	Canav	0.0
Estado	CE	2000	Canav	0.0
Estado	PI	2000	Canav	0.0
Estado	RN	2000	Canav	0.0
Estado	PB	2000	Canav	0.0
Estado	PE	2000	Canav	0.019639646484375
Estado	AL	2000	Canav	0.0
Estado	SE	2000	Canav	0.006573604003906249
Estado	BA	2000	Canav	0.0
Estado	ES	2000	Canav	0.0
Estado	RJ	2000	Canav	0.0
Estado	SP	2000	Canav	0.0
Estado	PR	2000	Canav	0.0
Estado	SC	2000	Canav	0.0
Nacional	BR	2000	Flore	129.97060
Regiao	1	2000	Flore	55.18450838948181
Regiao	2	2000	Flore	15.80546875136718
Regiao	3	2000	Flore	38.443155033203105
Regiao	4	2000	Flore	12.078608164062498
Regiao	5	2000	Flore	4.301886124999999
Regiao	6	2000	Flore	4.156971609375
Regiao	7	2000	Flore	0
Estado	AP	2000	Flore	61.55769152411921
Estado	PA	2000	Flore	25.54906656029413
Estado	MA	2000	Flore	25.28349871093751
Estado	CE	2000	Flore	1.3426891591796872
Estado	PI	2000	Flore	0.101362400390625
Estado	RN	2000	Flore	0.22185386376953128
Estado	PB	2000	Flore	0.20736335656020216
Estado	PE	2000	Flore	1.573083465820313
Estado	AL	2000	Flore	0.7937023474121098
Estado	SE	2000	Flore	1.415069022460937
Estado	BA	2000	Flore	6.3460934609374995
Estado	ES	2000	Flore	0.27165471484375003
Estado	RJ	2000	Flore	0.0043474931640625
Estado	SP	2000	Flore	0.0
Estado	PR	2000	Flore	0.019812990234375
Estado	SC	2000	Flore	0.0096251650390625
Nacional	BR	2000	VeNFl	1.4872689
Regiao	1	2000	VeNFl	0
Regiao	2	2000	VeNFl	0
Regiao	3	2000	VeNFl	0
Regiao	4	2000	VeNFl	0
Regiao	5	2000	VeNFl	0.093175953125
Regiao	6	2000	VeNFl	0
Regiao	7	2000	VeNFl	1.3940929843749998
Estado	AP	2000	VeNFl	0.0
Estado	PA	2000	VeNFl	0.0
Estado	MA	2000	VeNFl	0.0
Estado	CE	2000	VeNFl	0.0
Estado	PI	2000	VeNFl	0.0
Estado	RN	2000	VeNFl	0.00528327978515625
Estado	PB	2000	VeNFl	0.0
Estado	PE	2000	VeNFl	0.0
Estado	AL	2000	VeNFl	0.0
Estado	SE	2000	VeNFl	0.0
Estado	BA	2000	VeNFl	0.05658608203125
Estado	ES	2000	VeNFl	0.004624119140625
Estado	RJ	2000	VeNFl	0.0
Estado	SP	2000	VeNFl	0.5593947519531249
Estado	PR	2000	VeNFl	0.6137136210937499
Estado	SC	2000	VeNFl	0.0
Nacional	BR	2000	PDA	0.4468399
Regiao	1	2000	PDA	0
Regiao	2	2000	PDA	0
Regiao	3	2000	PDA	0.17248175
Regiao	4	2000	PDA	0.18097009765625
Regiao	5	2000	PDA	0.0933880546875
Regiao	6	2000	PDA	0
Regiao	7	2000	PDA	0
Estado	AP	2000	PDA	0.0
Estado	PA	2000	PDA	0.24946979154411766
Estado	MA	2000	PDA	0.39824055386029417
Estado	CE	2000	PDA	0.0745979189453125
Estado	PI	2000	PDA	0.025342638671875
Estado	RN	2000	PDA	0.0158604921875
Estado	PB	2000	PDA	0.0
Estado	PE	2000	PDA	0.0
Estado	AL	2000	PDA	0.0
Estado	SE	2000	PDA	0.0
Estado	BA	2000	PDA	0.05500543359375
Estado	ES	2000	PDA	0.0
Estado	RJ	2000	PDA	0.0
Estado	SP	2000	PDA	0.0
Estado	PR	2000	PDA	0.0
Estado	SC	2000	PDA	0.0
Nacional	BR	2000	Apicu	7.811505
Regiao	1	2000	Apicu	0
Regiao	2	2000	Apicu	0
Regiao	3	2000	Apicu	2.022386405273437
Regiao	4	2000	Apicu	5.066115488281251
Regiao	5	2000	Apicu	0.6571486015624999
Regiao	6	2000	Apicu	0
Regiao	7	2000	Apicu	0.06585484375
Estado	AP	2000	Apicu	0.0
Estado	PA	2000	Apicu	0.8765568671874999
Estado	MA	2000	Apicu	5.334942162806373
Estado	CE	2000	Apicu	0.5671129052734374
Estado	PI	2000	Apicu	0.152028130859375
Estado	RN	2000	Apicu	0.21673360009765627
Estado	PB	2000	Apicu	0.056470364257812496
Estado	PE	2000	Apicu	0.0393736748046875
Estado	AL	2000	Apicu	0.0
Estado	SE	2000	Apicu	0.037211908203125005
Estado	BA	2000	Apicu	0.617776609375
Estado	ES	2000	Apicu	0.0
Estado	RJ	2000	Apicu	0.004345431640625
Estado	SP	2000	Apicu	0.0
Estado	PR	2000	Apicu	0.0
Estado	SC	2000	Apicu	0.0095156259765625
Nacional	BR	2000	Urban	1.0894626
Regiao	1	2000	Urban	0
Regiao	2	2000	Urban	0
Regiao	3	2000	Urban	0.062725904296875
Regiao	4	2000	Urban	0.2260675
Regiao	5	2000	Urban	0.28253150781249997
Regiao	6	2000	Urban	0.31998203125
Regiao	7	2000	Urban	0.19815569140625
Estado	AP	2000	Urban	0.0
Estado	PA	2000	Urban	0.375672578125
Estado	MA	2000	Urban	0.0666274140625
Estado	CE	2000	Urban	0.0596462275390625
Estado	PI	2000	Urban	0.0
Estado	RN	2000	Urban	0.021125
Estado	PB	2000	Urban	0.033881411621093746
Estado	PE	2000	Urban	0.0196791708984375
Estado	AL	2000	Urban	0.002777629638671875
Estado	SE	2000	Urban	0.01313023583984375
Estado	BA	2000	Urban	0.16901624609375
Estado	ES	2000	Urban	0.03668225439453125
Estado	RJ	2000	Urban	0.034865773925781246
Estado	SP	2000	Urban	0.097916298828125
Estado	PR	2000	Urban	0.0593717734375
Estado	SC	2000	Urban	0.019079614257812502
Nacional	BR	2000	RLO	58.51542
Regiao	1	2000	RLO	5.519700363281251
Regiao	2	2000	RLO	1.7596487392578128
Regiao	3	2000	RLO	23.073153745875455
Regiao	4	2000	RLO	14.338473210937504
Regiao	5	2000	RLO	5.442196609375
Regiao	6	2000	RLO	5.776705343750001
Regiao	7	2000	RLO	2.60553900992647
