year	region	arealost_mapbiomas	arealost_gfc
2000	orange	67.5264410984662	
2000	norte	27.30062325820316	
2000	coruca	73.12268517219667	
2000	secos	41.57095749218751	
2000	calcanhar	19.95971096344976	
2000	antonio	19.198591203125	
2000	frio	12.490365064613972	
2001	orange	30.068892214349700	0.12350901269531252
2001	norte	16.852986998437483	0.081379630859375
2001	coruca	65.88202713084785	1.897380556640625
2001	secos	41.389555722656276	1.26660787109375
2001	calcanhar	22.6857512734375	2.4396128046874996
2001	antonio	17.219019265625	3.8155969374999996
2001	frio	11.765388455652577	0.13336759375
2002	orange	21.24894379345700	0.11624004638671874
2002	norte	18.99795985186505	0.0610384970703125
2002	coruca	53.546973446829035	2.0854128271484376
2002	secos	43.08051148567712	3.03091243359375
2002	calcanhar	16.105017582383574	4.234523648437499
2002	antonio	18.090448859375	3.6244359375
2002	frio	18.97199479738051	0.13214195703124998
2003	orange	44.02541371484381	0.03631696533203125
2003	norte	13.476934455078124	0.05085873046875
2003	coruca	51.20524051255357	1.4111346201171875
2003	secos	40.07320371093751	1.8547946523437497
2003	calcanhar	16.4884476796875	2.0613532812499997
2003	antonio	13.302349890625	3.815598796875
2003	frio	20.728278031249996	0.0675147421875
2004	orange	44.836723719887374	0.11627358056640624
2004	norte	16.273581844140626	0.5390812929687502
2004	coruca	49.251297933402284	2.3677331650390627
2004	secos	42.47091930859379	3.799382664062499
2004	calcanhar	18.56178325	1.1258851484374999
2004	antonio	15.325447015624997	3.2815723593749997
2004	frio	18.80662404296874	0.3958929296875
2005	orange	74.56023060791047	0.04359053955078125
2005	norte	23.069473299804695	0.11188879296874998
2005	coruca	44.50124800151658	4.014048625976564
2005	secos	48.21573751171869	1.80951119921875
2005	calcanhar	20.152994057199756	1.8705729374999998
2005	antonio	19.256165875	4.797615875
2005	frio	15.069733722656245	0.7264505312499999
2006	orange	22.287186909340527	0.18891154248046874
2006	norte	18.358630707421884	0.12206186132812501
2006	coruca	52.87103021484375	3.3239687568359377
2006	secos	41.43215342968756	2.17146932421875
2006	calcanhar	17.57240212745098	2.9081379296875
2006	antonio	18.457668937500003	2.4790695781250003
2006	frio	12.345943437500003	0.1977750859375
2007	orange	55.74373999022858	0.00726689599609375
2007	norte	18.92792552089845	0.09155169921875
2007	coruca	55.85243393165594	2.539890474609375
2007	secos	38.896585480468744	4.524088886718751
2007	calcanhar	19.882034492187497	2.659328952665441
2007	antonio	18.728881046875003	5.780789515625
2007	frio	15.346221750000002	0.3321889296875
2008	orange	29.640802955882368	0.0435893486328125
2008	norte	17.483508528710928	0.1627514853515625
2008	coruca	49.561768096101474	1.4268258388671873
2008	secos	35.799056170695465	2.89538725
2008	calcanhar	25.86677294776348	5.82220140625
2008	antonio	18.750499625000003	2.8190489999999997
2008	frio	19.846505797380516	0.0662906953125
2009	orange	27.221689295461836	0.2316048790670956
2009	norte	16.405455206445318	0.071210853515625
2009	coruca	49.15870119305302	2.5713977246093753
2009	secos	37.9491199453125	3.2121451171875006
2009	calcanhar	19.429180617187498	2.4429549765625
2009	antonio	15.893306531250001	4.957404265625
2009	frio	21.96817614453125	0.0662906953125
2010	orange	17.09023128384076	0.05084951611328126
2010	norte	16.81898906503907	0.0610249521484375
2010	coruca	51.51541790160082	5.711215618229168
2010	secos	40.43874100000002	4.61459458203125
2010	calcanhar	23.3372916796875	4.212838515625
2010	antonio	17.520928812500003	4.099086390625001
2010	frio	19.72223662159927	0.468251609375
2011	orange	56.680010214998674	0.07991591796874999
2011	norte	16.721692985351567	0.061020646484375
2011	coruca	57.60495435330889	3.747174865234376
2011	secos	46.317779374999944	4.25253720703125
2011	calcanhar	22.2043840703125	2.4345341015625
2011	antonio	19.885326781249997	11.823771832475494
2011	frio	19.069194402343747	0.13177784375
2012	orange	39.493089628889	0.138017310546875
2012	norte	22.23372960058594	0.1118971279296875
2012	coruca	63.37477762167585	6.620250328190102
2012	secos	70.86192708236821	5.926252464843751
2012	calcanhar	26.234993372150736	9.103883093750001
2012	antonio	21.822685822855394	12.036576546875
2012	frio	20.104074905560662	0.19947109375
2013	orange	41.905703006990976	0.16703028027343753
2013	norte	20.444037240234366	0.040690217773437495
2013	coruca	57.701788153128874	3.9823629687500004
2013	secos	45.34559776893379	11.851421898437495
2013	calcanhar	22.409296296875	5.91396821875
2013	antonio	19.744032499999996	10.130631624999998
2013	frio	24.411937964843748	0.26524992578125
2014	orange	25.233875008461627	0.7118252915039064
2014	norte	15.07432218457031	0.0203424560546875
2014	coruca	58.507657671132066	4.719132815429688
2014	secos	39.39652816015624	5.38368964453125
2014	calcanhar	20.038059185661766	3.8525954921875
2014	antonio	16.515726375000003	8.029040187500001
2014	frio	19.368578511718745	1.595339765625
2015	orange	77.01411194595543	0.10897033642578124
2015	norte	16.731868223632805	0.020346904296875
2015	coruca	36.98036580446919	2.9634692617187497
2015	secos	44.64983954623154	5.0217913984375
2015	calcanhar	17.6259040546875	0.934707609375
2015	antonio	19.428507015625	7.400104765625001
2015	frio	19.830706613281254	0.2654644765625
2016	orange	21.512044087293205	1.1832422568359373
2016	norte	20.136053522265655	0.25429284960937504
2016	coruca	42.97966482922031	14.503420976562499
2016	secos	59.88380868327198	14.024965050781251
2016	calcanhar	16.05234069776348	2.1571505
2016	antonio	19.153547375	23.968955421875
2016	frio	26.257626300781244	10.338799976562505
2017	orange	14.93435626951403	1.8515144391256892
2017	norte	28.651623041992224	1.628493830173866
2017	coruca	59.90127295475648	28.85496646447612
2017	secos	55.44584976447605	39.28777891475183
